Commodity,Country Of Destination,Year,Quantity,FOB,source_file
Abaca Fibers,Bangladesh,2022,11226.86,27900.0,PhilippineExports(2022-2023).csv
Abaca Fibers,Bangladesh,2024,33750.0,83250.0,PhilippineExports(2024-2025).csv
Abaca Fibers,Egypt Arab Republic,2021,40875.0,77662.0,PhilippineExports(2020-2021).csv
Abaca Fibers,Egypt Arab Republic,2022,45000.0,94500.0,PhilippineExports(2022-2023).csv
Abaca Fibers,Egypt Arab Republic,2023,45000.0,90000.0,PhilippineExports(2022-2023).csv
Abaca Fibers,Egypt Arab Republic,2024,18875.0,33598.0,PhilippineExports(2024-2025).csv
Abaca Fibers,Egypt Arab Republic,2025,90000.0,162000.0,PhilippineExports(2024-2025).csv
Abaca Fibers,India,2021,158266.88,325527.0,PhilippineExports(2020-2021).csv
Abaca Fibers,India,2022,112407.44,199970.0,PhilippineExports(2022-2023).csv
Abaca Fibers,India,2023,112453.72,234345.0,PhilippineExports(2022-2023).csv
Abaca Fibers,India,2024,135000.0,293128.0,PhilippineExports(2024-2025).csv
Abaca Fibers,India,2025,180000.0,397336.0,PhilippineExports(2024-2025).csv
Abaca Fibers,Indonesia,2021,13744.22,33475.0,PhilippineExports(2020-2021).csv
Abaca Fibers,Indonesia,2022,39750.0,98480.0,PhilippineExports(2022-2023).csv
Abaca Fibers,Indonesia,2023,28750.0,72525.0,PhilippineExports(2022-2023).csv
Abaca Fibers,Indonesia,2024,8750.0,21950.0,PhilippineExports(2024-2025).csv
Abaca Fibers,Indonesia,2025,38250.0,103460.0,PhilippineExports(2024-2025).csv
Abaca Fibers,Japan,2021,3952289.28,7727822.0,PhilippineExports(2020-2021).csv
Abaca Fibers,Japan,2022,3823156.09,7672567.0,PhilippineExports(2022-2023).csv
Abaca Fibers,Japan,2023,2734025.43,5419295.0,PhilippineExports(2022-2023).csv
Abaca Fibers,Japan,2024,2649323.7,5244509.0,PhilippineExports(2024-2025).csv
Abaca Fibers,Japan,2025,3228051.5,6195888.0,PhilippineExports(2024-2025).csv
Abaca Fibers,Nepal,2024,5640.0,11914.0,PhilippineExports(2024-2025).csv
Abaca Fibers,Nepal,2025,2714.0,6803.0,PhilippineExports(2024-2025).csv
Abaca Fibers,People'S Republic Of China,2021,2070766.53,4894166.0,PhilippineExports(2020-2021).csv
Abaca Fibers,People'S Republic Of China,2022,978137.98,2319549.0,PhilippineExports(2022-2023).csv
Abaca Fibers,People'S Republic Of China,2023,1909053.26,3712772.0,PhilippineExports(2022-2023).csv
Abaca Fibers,People'S Republic Of China,2024,2070798.0,3788562.0,PhilippineExports(2024-2025).csv
Abaca Fibers,People'S Republic Of China,2025,2301249.0,4076471.0,PhilippineExports(2024-2025).csv
Abaca Fibers,Singapore,2024,330.0,987.0,PhilippineExports(2024-2025).csv
Abaca Fibers,Spain,2021,1586451.04,2470388.0,PhilippineExports(2020-2021).csv
Abaca Fibers,Spain,2022,1048690.7,1078833.0,PhilippineExports(2022-2023).csv
