"Philippine Exports by Commodity Group (GRT), 2000-2025"

"Commodity";"Country Of Destination";"2020 Quantity";"2020 FOB";"2021 Quantity";"2021 FOB";"2022 Quantity";"2022 FOB";"2023 Quantity";"2023 FOB";"2024 Quantity";"2024 FOB";"2025 Quantity";"2025 FOB"
"Processed Tropical Fruits";"American Samoa";32931.97;35797.00;22468.89;24707.00;57635.73;62890.00;67908.97;74633.00;29573.48;28025.00;22028.58;31775.00
"Processed Tropical Fruits";"Argentina";709076.32;1628594.00;956650.54;2490226.00;701746.80;1586163.00;729418.80;1557085.00;371150.36;850904.00;816066.62;1847689.00
"Processed Tropical Fruits";"Australia";7237025.50;13217536.00;6844196.94;11877488.00;8526541.26;13152729.00;4852106.78;7751974.00;3205301.32;6032319.00;2953442.28;6544984.00
"Processed Tropical Fruits";"Austria";108418.42;95880.00;279064.01;195264.00;206456.42;201126.00;179236.56;175735.00;272338.15;237945.00;376370.75;361943.00
"Processed Tropical Fruits";"Bahamas";17218.99;13182.00;67002.63;58060.00;..;..;..;..;5762.88;5535.00;1920.96;1845.00
"Processed Tropical Fruits";"Bahrain";49854.16;73367.00;125367.40;198621.00;51258.90;109398.00;72800.39;153950.00;71324.01;109411.00;20594.29;31948.00
"Processed Tropical Fruits";"Barbados";..;..;1599.63;1605.00;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Belgium";1167260.25;1796785.00;1357291.13;2235979.00;1986894.54;2652765.00;722660.88;1349038.00;331721.57;726773.00;886821.01;882099.00
"Processed Tropical Fruits";"Belize (British Honduras)";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Bhutan";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Bolivia";..;..;21165.33;19311.00;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Brazil";915562.26;2576287.00;759556.26;2156537.00;520767.08;1488733.00;457708.86;1414093.00;745159.87;2103207.00;165755.54;461948.00
"Processed Tropical Fruits";"Brunei Darussalam";212599.55;242202.00;194527.52;261933.00;346877.19;416539.00;215629.40;317055.00;106346.23;165630.00;109419.16;145053.00
"Processed Tropical Fruits";"Canada";8827783.86;17416659.00;10484930.77;17076514.00;15409561.65;23228499.00;11404639.46;24037141.00;19232841.00;26755686.00;24129184.68;26608588.00
"Processed Tropical Fruits";"Canary Islands";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Chile";567791.48;1078638.00;532659.42;1430854.00;308632.76;746841.00;391428.19;877745.00;400092.74;900824.00;466003.79;1043903.00
"Processed Tropical Fruits";"People'S Republic Of China";34462015.13;63698887.00;35427870.01;71573593.00;34871584.30;61659401.00;36569975.33;73336268.00;37000371.35;71648121.00;40136942.85;77037167.00
"Processed Tropical Fruits";"Taiwan (Rep. Of China)";753895.76;1602287.00;914504.18;1854902.00;1634757.90;2932308.00;985982.53;2007988.00;486443.23;1470870.00;666396.26;2064060.00
"Processed Tropical Fruits";"Colombia";6804.00;16050.00;..;..;25800.00;154800.00;1060.00;4102.00;13751.40;76368.00;16783.43;94362.00
"Processed Tropical Fruits";"Costa Rica";..;..;..;..;14887.06;36773.00;..;..;11486.53;22560.00;11486.53;27360.00
"Processed Tropical Fruits";"Cyprus";8279.16;15073.00;5748.17;23079.00;13038.44;28315.00;34282.89;141048.00;13405.78;25855.00;12342.82;25764.00
"Processed Tropical Fruits";"Czech Republic (Czechoslovakia)";154189.04;318971.00;88802.36;165171.00;319833.76;625731.00;205600.64;400002.00;171634.36;361201.00;147626.84;367871.00
"Processed Tropical Fruits";"Denmark";411812.57;980498.00;328368.35;865793.00;191219.93;512127.00;119084.25;233066.00;121977.70;230390.00;146883.14;301165.00
"Processed Tropical Fruits";"Dominican Republic";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Ecuador";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Egypt Arab Republic";..;..;29208.34;28259.00;..;..;..;..;42011.38;83972.00;7214.40;12332.00
"Processed Tropical Fruits";"Fiji";..;..;698.00;539.00;19.00;69.00;570.46;540.00;365.80;553.00;..;..
"Processed Tropical Fruits";"Finland";36428.24;75280.00;16625.22;44854.00;78920.07;135383.00;88696.95;146192.00;31302.90;37266.00;17055.59;23131.00
"Processed Tropical Fruits";"France";3536411.32;7957889.00;3377743.48;7302495.00;2316126.33;4776743.00;2218633.37;3664736.00;2946750.86;5109280.00;4060145.21;6501586.00
"Processed Tropical Fruits";"French Polynesia";72626.01;78356.00;35673.11;39065.00;71580.15;81852.00;52618.92;65815.00;62879.70;66170.00;105051.28;139094.00
"Processed Tropical Fruits";"French West Indies";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Gabon";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Germany";7243093.26;15890656.00;6821949.67;17193279.00;5206339.89;11454026.00;5170314.27;11352608.00;5658955.65;11955793.00;5177689.13;11460798.00
"Processed Tropical Fruits";"Greece";174017.31;293778.00;163810.10;469393.00;135833.07;359994.00;247805.59;471517.00;202069.16;401436.00;208485.96;483547.00
"Processed Tropical Fruits";"Guadeloupe";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Honduras, Republic Of";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Hong Kong, China";4202432.12;7323290.00;4192459.05;8590544.00;3650441.23;5928380.00;3414966.51;6236864.00;3945666.68;7351109.00;2952917.61;5797435.00
"Processed Tropical Fruits";"Hungary";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Iceland";..;..;..;..;43696.03;47846.00;3000.00;14750.00;27273.21;33859.00;9065.95;7278.00
"Processed Tropical Fruits";"India";525029.95;615474.00;1138623.58;1922421.00;2057139.57;3376207.00;1322680.90;2262557.00;1559869.26;2508602.00;2211996.71;3570474.00
"Processed Tropical Fruits";"Indonesia";440835.71;569406.00;545878.25;721491.00;414855.97;689024.00;437661.67;914753.00;522335.26;857404.00;470029.08;896384.00
"Processed Tropical Fruits";"Ireland";84685.61;928732.00;204216.56;1738849.00;81180.00;879876.00;300324.44;2658494.00;4746.50;9242.00;5666.00;11762.00
"Processed Tropical Fruits";"Israel";285549.98;662346.00;388811.09;1091110.00;306363.52;763170.00;426075.06;862557.00;359322.99;682268.00;540177.35;1219980.00
"Processed Tropical Fruits";"Italy";691946.34;1836587.00;860235.13;2379574.00;640682.09;1882523.00;523504.48;1372911.00;1072039.24;2184576.00;655797.96;1790294.00
"Processed Tropical Fruits";"Jamaica (Excludes Cayman Is.,Turks,Caicos)";16094.99;13527.00;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Japan";10210554.31;29553951.00;10432751.71;33916922.00;10754094.26;44889437.00;10005531.98;25025160.00;12357998.25;28308367.00;13021251.94;29911914.00
"Processed Tropical Fruits";"Okinawa";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Cambodia (Democratic Kampuchea)";..;..;55132.12;12160.00;192.00;1192.00;1074.36;2017.00;3187.20;4419.00;107005.83;101945.00
"Processed Tropical Fruits";"Kenya";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Republic Of Korea";12955447.31;14617068.00;13110561.89;15978310.00;11885388.20;15602074.00;11011716.53;16357480.00;15042098.65;18391808.00;13171325.44;16311154.00
"Processed Tropical Fruits";"Kuwait";318340.18;302581.00;305655.86;330129.00;213155.68;292829.00;211187.79;309573.00;264031.46;284162.00;379386.26;441542.00
"Processed Tropical Fruits";"Lebanon";12002.54;22276.00;5894.56;7966.00;2977.52;3213.00;19077.49;34989.00;58812.59;48336.00;180259.60;192388.00
"Processed Tropical Fruits";"Malaysia";9189537.58;9718453.00;10754472.98;15643267.00;12349294.70;18011066.00;9875374.03;11863125.00;10799449.92;13527095.00;12622631.73;20297974.00
"Processed Tropical Fruits";"Sabah (Comprises Malaysia)";18678.00;15588.00;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Malta";16560.00;20280.00;23018.50;36849.00;2133.38;3748.00;7203.46;14662.00;16257.88;45555.00;2133.00;4642.00
"Processed Tropical Fruits";"Mauritius";..;..;..;..;412.00;4901.00;7729.35;22095.00;4065.60;16342.00;8336.13;34041.00
"Processed Tropical Fruits";"Mexico";465416.33;1949117.00;284218.11;1166246.00;333831.33;1754252.00;96594.26;473101.00;370155.61;1493520.00;319175.20;1353952.00
"Processed Tropical Fruits";"Netherlands";13555556.40;24207342.00;14733520.40;18488954.00;15379957.46;21057123.00;9494769.80;13482871.00;10021276.42;14255873.00;15981127.99;21939225.00
"Processed Tropical Fruits";"New Caledonia";..;..;..;..;..;..;6107.94;6150.00;10818.14;8726.00;..;..
"Processed Tropical Fruits";"Vanuatu (New Hebrides)";..;..;..;..;..;..;22952.19;31240.00;12473.16;11239.00;..;..
"Processed Tropical Fruits";"New Zealand";981262.00;1300247.00;839561.25;1216390.00;829369.70;1150857.00;843747.28;1243137.00;1506169.97;2429932.00;1151401.89;1787453.00
"Processed Tropical Fruits";"Nigeria";..;..;104.42;780.00;155.62;394.00;..;..;..;..;..;..
"Processed Tropical Fruits";"Norway";26084.63;53077.00;73752.13;149622.00;175227.71;277357.00;61864.24;124452.00;117973.20;178614.00;168361.47;248657.00
"Processed Tropical Fruits";"Pakistan, Islamic Rep. Of";7043810.81;5468411.00;9022080.51;7703615.00;3326210.11;3057725.00;2897319.93;2825277.00;2211034.68;1822475.00;2415058.22;2138462.00
"Processed Tropical Fruits";"Palau, Rep. Of";..;..;500.00;1221.00;23800.00;28659.00;8715.00;8675.00;46602.60;18054.00;40928.10;27894.00
"Processed Tropical Fruits";"Papua New Guinea";11192.95;5040.00;14434.39;28608.00;22959.91;27976.00;29483.27;30300.00;17839.80;16150.00;6358.59;13536.00
"Processed Tropical Fruits";"Peru";..;..;..;..;2697.07;2791.00;245.52;322.00;5998.44;15350.00;1554.00;1680.00
"Processed Tropical Fruits";"Poland";642439.24;1313235.00;692327.27;1755162.00;714301.33;1466805.00;737347.47;1267509.00;999371.35;1718688.00;990452.90;1852940.00
"Processed Tropical Fruits";"Portugal";189707.35;449536.00;181380.87;511013.00;299528.02;737225.00;39803.26;91407.00;71290.68;171449.00;55418.12;137848.00
"Processed Tropical Fruits";"Puerto Rico";..;..;1920.96;1605.00;..;..;22020.20;32988.00;..;..;36145.58;88233.00
"Processed Tropical Fruits";"Reunion";..;..;..;..;1531.00;8845.00;5392.75;34699.00;..;..;3930.35;23058.00
"Processed Tropical Fruits";"San Marino";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Saudi Arabia";482533.39;929257.00;922668.33;1861670.00;856798.52;2214484.00;707953.18;1562989.00;733718.12;1780272.00;412245.24;994459.00
