"Commodity";"Country Of Destination";"2020 Quantity";"2020 FOB";"2021 Quantity";"2021 FOB"
"Basketworks";"American Samoa";..;..;..;..
"Basketworks";"Argentina";..;..;..;..
"Basketworks";"Australia";47175.70;246279.00;25347.17;300201.00
"Basketworks";"Austria";..;..;627.00;18208.00
"Basketworks";"Bahamas";..;..;64.00;5000.00
"Basketworks";"Bahrain";..;..;..;..
"Basketworks";"Barbados";..;..;..;..
"Basketworks";"Belgium";710.00;26700.00;249.00;8934.00
"Basketworks";"Belize (British Honduras)";..;..;..;..
"Basketworks";"Bhutan";..;..;..;..
"Basketworks";"Bolivia";..;..;..;..
"Basketworks";"Brazil";10469.00;49324.00;3991.00;49462.00
"Basketworks";"Brunei Darussalam";..;..;..;..
"Basketworks";"Canada";51817.00;129277.00;134146.00;397823.00
"Basketworks";"Canary Islands";..;..;..;..
"Basketworks";"Chile";202.00;5905.00;649.00;20378.00
"Basketworks";"People'S Republic Of China";5691.80;42866.00;2791.00;38522.00
"Basketworks";"Taiwan (Rep. Of China)";2892.00;7112.00;1323.00;7601.00
"Basketworks";"Colombia";..;..;..;..
"Basketworks";"Costa Rica";7.00;858.00;1750.00;3002.00
"Basketworks";"Cyprus";..;..;..;..
"Basketworks";"Czech Republic (Czechoslovakia)";780.00;20344.00;2650.00;21828.00
"Basketworks";"Denmark";43332.93;191772.00;43135.00;237390.00
"Basketworks";"Dominican Republic";..;..;2729.00;15360.00
"Basketworks";"Ecuador";..;..;..;..
"Basketworks";"Egypt Arab Republic";..;..;..;..
"Basketworks";"Fiji";21.00;630.00;..;..
"Basketworks";"Finland";..;..;..;..
"Basketworks";"France";27103.47;335010.00;44028.05;202693.00
"Basketworks";"French Polynesia";..;..;..;..
"Basketworks";"French West Indies";..;..;..;..
"Basketworks";"Gabon";..;..;..;..
"Basketworks";"Germany";25332.00;148766.00;70928.12;204504.00
"Basketworks";"Greece";60.00;4550.00;100.00;66.00
"Basketworks";"Guadeloupe";..;..;..;..
"Basketworks";"Honduras, Republic Of";..;..;..;..
"Basketworks";"Hong Kong, China";32108.00;177766.00;4161.32;62729.00
